id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
95983,2020-07-01 00:03:26,刚果（布）,1087,0,456,37,0,0.0,0.0,,0.0,0.0,,,
8162,2020-07-01 05:03:31,津巴布韦,591,0,162,7,0,0.0,17.0,,10.0,0.0,,,
956475,2020-07-01 00:03:26,丹麦,12968,0,11849,605,0,0.0,17.0,,0.0,0.0,,,
81344,2020-06-15 14:48:41,阿鲁巴,101,0,98,3,0,0.0,,,,,,,
95776,2020-07-01 00:03:26,斐济,18,0,18,0,0,0.0,0.0,,0.0,0.0,,,
8172,2020-07-01 00:03:26,伯利兹,24,0,18,2,0,0.0,0.0,,0.0,0.0,,,
8173,2020-07-01 00:28:29,缅甸,299,0,222,6,0,0.0,0.0,,1.0,0.0,,,
9568067,2020-07-01 02:23:27,塞浦路斯,998,0,833,19,0,0.0,2.0,,0.0,0.0,,,
81134,2020-06-14 00:00:31,关岛,183,0,143,5,0,0.0,,,,,,,
888779,2020-06-15 10:21:59,科索沃,1326,0,921,31,0,0.0,,,,,,,
95860612,2020-06-12 17:03:41,圣皮埃尔岛和密克隆岛,1,0,1,0,0,0.0,,,,,,,
95251456,2020-07-01 15:48:54,吉尔吉斯斯坦,5735,0,2443,62,0,0.0,439.0,,73.0,5.0,,,
8197,2020-06-15 00:00:31,博茨瓦纳,60,0,24,1,0,,,0.0,,,0.0,,
95309,2020-07-01 08:03:37,尼日尔,1075,0,943,67,0,0.0,1.0,,4.0,0.0,,,
95305,2020-07-01 06:03:36,苏里南,515,0,227,13,0,0.0,14.0,,10.0,0.0,,,
95306,2020-07-01 04:03:33,佛得角,1227,0,629,15,0,0.0,62.0,,21.0,3.0,,,
95786,2020-07-01 15:48:54,萨尔瓦多,6438,0,3809,182,0,0.0,265.0,,39.0,8.0,,,
95303,2020-06-15 13:51:31,圭亚那,159,0,99,12,0,,,0.0,,,0.0,,
95787,2020-07-01 06:53:36,尼加拉瓜,2519,0,1238,83,0,0.0,349.0,,0.0,9.0,,,
95783,2020-06-15 00:00:31,冈比亚,28,0,24,1,0,,,0.0,,,0.0,,
9523416782,2020-06-12 16:58:23,东帝汶,24,0,24,0,0,,,,,,,,
950777,2020-07-01 15:48:54,巴基斯坦,213470,0,100802,4395,0,0.0,4133.0,,2299.0,91.0,,,
9577890,2020-07-01 05:03:31,埃及,68311,0,18460,2953,0,0.0,1557.0,,509.0,81.0,,,
9577665,2020-07-01 00:03:26,科威特,46195,0,37030,354,0,0.0,671.0,,0.0,0.0,,,
95903,2020-07-01 00:03:26,斯洛伐克,1667,0,1464,28,0,0.0,2.0,,0.0,0.0,,,
95904,2020-06-15 13:47:38,直布罗陀,176,0,173,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
959333,2020-06-16 00:00:31,摩纳哥,99,0,93,4,0,,,,,,,,
9509765,2020-07-01 03:13:32,巴拉圭,2221,0,1089,17,0,0.0,30.0,,9.0,1.0,,,
856671,2020-06-12 16:58:47,荷属安的列斯,22,0,15,1,0,,,,,,,,
95711,2020-06-15 00:00:31,多米尼克,18,0,16,0,0,,,,,,,,
95703,2020-07-01 15:48:53,乌兹别克斯坦,8627,0,5682,26,0,0.0,242.0,,113.0,1.0,,,
95293,2020-07-01 00:28:29,黑山,548,0,315,12,0,0.0,47.0,,0.0,1.0,,,
95294,2020-07-01 11:28:47,危地马拉,18096,0,3194,773,0,0.0,687.0,,24.0,27.0,,,
95290,2020-07-01 00:03:26,加蓬,5394,0,2420,42,0,0.0,185.0,,0.0,0.0,,,
95291,2020-07-01 00:03:26,苏丹,9257,0,4014,572,0,0.0,0.0,,0.0,0.0,,,
87435,2020-07-01 08:03:37,利比亚,824,0,209,24,0,0.0,22.0,,3.0,1.0,,,
95287,2020-06-15 14:48:56,圣马丁岛,77,0,61,15,0,,,,,,,,
95046,2020-07-01 01:08:29,土耳其,199906,0,173111,5131,0,0.0,1293.0,,1302.0,16.0,,,
95047,2020-06-12 17:02:54,巴布亚新几内亚,8,0,8,0,0,,,,,,,,
95000011,2020-07-01 00:28:29,多米尼加,32568,0,17580,747,0,0.0,752.0,,300.0,14.0,,,
95076,2020-07-01 01:08:29,约旦,1132,0,882,9,0,0.0,4.0,,15.0,0.0,,,
9532556,2020-07-01 16:08:54,亚美尼亚,26065,0,14563,453,0,0.0,523.0,,515.0,10.0,,,
811192,2020-06-12 17:01:29,圣基茨和尼维斯,15,0,15,0,0,,,,,,,,
89665,2020-06-15 13:49:44,瓜德罗普,171,0,157,14,0,,,0.0,,,0.0,,
94367,2020-07-01 00:08:26,安提瓜和巴布达,69,0,22,3,0,0.0,0.0,,0.0,0.0,,,
95215,2020-07-01 11:28:48,玻利维亚,33219,0,9340,1123,0,0.0,1094.0,,412.0,52.0,,,
95693,2020-07-01 00:28:29,哥伦比亚,95269,0,40021,3376,0,0.0,3274.0,,1676.0,120.0,,,
879903,2020-06-12 16:57:52,圣文森特和格林纳丁斯,27,0,25,0,0,,,,,,,,
84326,2020-06-12 16:59:25,圣卢西亚,19,0,18,0,0,,,,,,,,
10,2020-07-01 04:03:33,法国,202063,0,76399,29846,0,0.0,541.0,,275.0,30.0,,,
11,2020-07-01 00:03:26,阿联酋,48667,0,37566,315,0,0.0,870.0,,0.0,0.0,,,
12,2020-07-01 08:03:37,加拿大,106097,0,69120,8650,0,0.0,267.0,,422.0,22.0,,,
13,2020-07-01 15:48:54,印度,585481,0,347912,17400,0,0.0,18641.0,,13090.0,507.0,,,
14,2020-07-01 16:08:54,英国,314161,0,1370,43815,0,0.0,691.0,,2.0,155.0,,,
15,2020-07-01 00:28:29,意大利,240578,0,190248,34767,0,0.0,142.0,,1052.0,23.0,,,
16,2020-07-01 16:08:55,俄罗斯,653479,0,422235,9521,0,0.0,6550.0,,10262.0,215.0,,,
17,2020-07-01 00:03:26,菲律宾,37514,0,10233,1266,0,0.0,1076.0,,0.0,0.0,,,
18,2020-07-01 00:03:26,芬兰,7214,0,6600,328,0,0.0,5.0,,0.0,0.0,,,
19,2020-07-01 00:03:26,尼泊尔,13564,0,3194,29,0,0.0,316.0,,0.0,0.0,,,
95682,2020-07-01 00:03:26,葡萄牙,42141,0,27505,1576,0,0.0,229.0,,0.0,0.0,,,
95200,2020-07-01 02:23:27,也门,1158,0,488,312,0,0.0,30.0,,56.0,8.0,,,
954356,2020-06-15 00:00:31,塞舌尔,11,0,11,0,0,,,,,,,,
20,2020-07-01 07:18:34,西班牙,296351,0,196958,28355,0,0.0,301.0,,0.0,9.0,,,
21,2020-07-01 00:28:29,斯里兰卡,2047,0,1711,11,0,0.0,5.0,,0.0,0.0,,,
9509,2020-07-01 02:23:27,阿尔及利亚,13907,0,9897,912,0,0.0,336.0,,223.0,7.0,,,
22,2020-07-01 16:08:54,柬埔寨,141,0,131,0,0,0.0,0.0,,1.0,0.0,,,
95239,2020-07-01 15:48:54,海地,5975,0,931,105,0,0.0,42.0,,92.0,0.0,,,
23,2020-07-01 00:28:29,瑞典,68451,0,4971,5333,0,0.0,784.0,,4971.0,0.0,,,
95237,2020-06-15 14:48:06,特里尼达和多巴哥,123,0,109,8,0,,,0.0,,,0.0,,
95jibuti,2020-07-01 00:28:29,吉布提,4682,0,4524,54,0,0.0,26.0,,91.0,1.0,,,
9512314,2020-06-15 11:44:39,圣多美与普林西比,659,0,176,12,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
953487,2020-07-01 00:03:26,布基纳法索,962,0,838,53,0,0.0,3.0,,0.0,0.0,,,
954332,2020-07-01 00:03:26,比利时,61427,0,16984,9747,0,0.0,66.0,,0.0,0.0,,,
9534324,2020-07-01 00:03:26,伊拉克,49109,0,24760,1943,0,0.0,1958.0,,0.0,0.0,,,
95000111,2020-07-01 00:03:26,马拉维,1224,0,260,14,0,0.0,78.0,,0.0,0.0,,,
95010,2020-07-01 00:03:26,冰岛,1842,0,1819,10,0,0.0,4.0,,0.0,0.0,,,
95jnybs,2020-07-01 00:03:26,几内亚比绍,1654,0,317,24,0,0.0,40.0,,0.0,0.0,,,
953333666,2020-07-01 16:08:55,拉脱维亚,1121,0,974,30,0,0.0,3.0,,0.0,0.0,,,
9512111,2020-06-15 14:49:07,不丹,66,0,21,0,0,,,0.0,,,0.0,,
957873,2020-07-01 01:08:29,挪威,8879,0,8138,250,0,0.0,13.0,,0.0,1.0,,,
9524546,2020-07-01 00:03:26,印度尼西亚,56385,0,24806,2876,0,0.0,1293.0,,0.0,0.0,,,
956789,2020-07-01 04:03:33,安哥拉,284,0,93,13,0,0.0,8.0,,0.0,2.0,,,
87656,2020-06-15 13:46:13,开曼群岛,187,0,115,1,0,,,,,,,,
95844,2020-07-01 00:08:26,埃塞俄比亚,5846,0,2430,103,0,0.0,0.0,,0.0,0.0,,,
95879,2020-06-15 00:00:31,梵蒂冈,12,0,12,0,0,,,,,,,,
95632,2020-07-01 05:03:31,科特迪瓦,9499,0,4273,68,0,0.0,285.0,,277.0,2.0,,,
95634,2020-07-01 00:28:29,卡塔尔,96088,0,81564,113,0,0.0,982.0,,1394.0,0.0,,,
95411,2020-06-12 17:03:24,莱索托,4,0,2,0,0,,,,,,,,
950611,2020-07-01 15:48:54,格鲁吉亚,931,0,794,15,0,0.0,3.0,,0.0,0.0,,,
96745,2020-07-01 11:28:47,墨西哥,226089,0,174538,27769,0,0.0,5432.0,,4391.0,648.0,,,
95891,2020-07-01 00:03:26,圣马力诺,698,0,656,42,0,0.0,0.0,,0.0,0.0,,,
95400,2020-07-01 15:48:54,哈萨克斯坦,22308,0,13558,188,0,0.0,489.0,,550.0,0.0,,,
95643,2020-07-01 00:03:26,安道尔,855,0,799,52,0,0.0,0.0,,0.0,0.0,,,
95886,2020-07-01 11:28:48,牙买加,702,0,553,10,0,0.0,4.0,,0.0,0.0,,,
82333,2020-06-15 13:26:03,格恩西岛,252,0,238,13,0,,,,,,,,
95677,2020-07-01 00:03:26,罗马尼亚,26970,0,19050,1651,0,0.0,388.0,,0.0,0.0,,,
95436,2020-07-01 00:03:26,阿曼,40070,0,23425,176,0,0.0,1010.0,,0.0,0.0,,,
95672,2020-06-15 14:25:46,列支敦士登,82,0,55,1,0,,,,,,,,
9547021,2020-07-01 00:03:26,马达加斯加,2214,0,994,20,0,0.0,76.0,,0.0,0.0,,,
